rank,numero,score,hotcold,cal,dp,exact,patt
1,2035,0.7703921568627451,0.5882352941176471,0.7000000000000001,0.16666666666666669,1.0,0.1
2,0153,0.7592156862745097,0.5735294117647058,0.7000000000000001,0.12916666666666668,1.0,0.1
3,6025,0.7483333333333333,0.5,0.7000000000000001,0.16666666666666669,1.0,0.1
4,0385,0.747549019607843,0.5735294117647058,0.7000000000000001,0.07083333333333333,1.0,0.1
5,8057,0.7386764705882353,0.5147058823529411,0.7000000000000001,0.1,1.0,0.1
6,6752,0.7376470588235294,0.47058823529411764,0.6,0.25,1.0,0.1
7,5602,0.7366666666666667,0.5,0.7000000000000001,0.10833333333333334,1.0,0.1
8,2571,0.734313725490196,0.47058823529411764,0.6,0.23333333333333334,1.0,0.1
9,5304,0.7286764705882353,0.5147058823529411,0.7000000000000001,0.05,1.0,0.1
10,7105,0.7286764705882353,0.5147058823529411,0.7000000000000001,0.05,1.0,0.1
11,2930,0.7266176470588235,0.42647058823529416,0.7,0.15,1.0,0.1
12,6358,0.7261764705882353,0.5147058823529411,0.6,0.1375,1.0,0.1
13,7093,0.7244607843137255,0.4411764705882353,0.7000000000000001,0.12083333333333333,1.0,0.1
14,0056,0.7226960784313725,0.5441176470588235,0.8,0.13333333333333333,1.0,0.05
15,9063,0.7196078431372549,0.4117647058823529,0.7000000000000001,0.13333333333333333,1.0,0.1
