fig,combinacion,signo1,signo2,signo3
1,3228,,,
2,1485,,,
3,5704,,,
4,3329,,,
5,0159,,,
6,1556,,,
7,9943,,,
8,4850,,,
9,0536,,,
10,9977,,,
11,2141,,,
12,2575,,,
13,0228,,,
14,4240,,,
15,2728,,,
16,0970,,,
17,5290,,,
18,4478,,,
19,5214,,,
20,6404,,,
21,9387,,,
22,5029,,,
23,2332,,,
24,0639,,,
25,0461,,,
26,6732,,,
27,6125,,,
28,7005,,,
29,5231,,,
30,1315,,,
31,5388,,,
32,5308,,,
33,3927,,,
34,5476,,,
35,1222,,,
36,0239,,,
37,0933,,,
38,8403,,,
39,5539,,,
40,2251,,,
41,8153,,,
42,7855,,,
43,2833,,,
44,3765,,,
45,3686,,,
46,7234,,,
47,3336,,,
48,5635,,,
49,2218,,,
50,3886,,,
51,1663,,,
52,5511,,,
53,2606,,,
54,2109,,,
55,3815,,,
56,0637,,,
57,4522,,,
58,4798,,,
59,8689,,,
60,2004,,,
61,4961,,,
62,2879,,,
63,8338,,,
64,6681,,,
65,5373,,,
66,8842,,,
67,9171,,,
68,3180,,,
69,2241,,,
70,7896,,,
71,9012,,,
72,7366,,,
73,6554,,,
74,4282,,,
75,3917,,,
76,0025,,,
77,1954,,,
78,0853,,,
79,3823,,,
80,8846,,,
81,9477,,,
82,3760,,,
83,2974,,,
84,6165,,,
85,6862,,,
86,9850,,,
87,5551,,,
88,5250,,,
89,5516,,,
90,5255,,,
91,5021,,,
92,1537,,,
93,6118,,,
94,0078,,,
95,9002,,,
96,9010,,,
97,8969,,,
98,5049,,,
99,6963,,,
100,9659,,,
