combinaciones,signo 1,signo 2,signo 3
6165,Libra,Tauro,Virgo
5290,Virgo,Géminis,Capricornio
5029,Virgo,Aries,Géminis
6732,Libra,Escorpio,Cáncer
5551,Virgo,Tauro,
1537,Tauro,Virgo,Cáncer
6862,Libra,Sagitario,Géminis
9171,Capricornio,Tauro,Escorpio
3760,Cáncer,Escorpio,Libra
2004,Géminis,Aries,Leo
7896,Escorpio,Sagitario,Capricornio
6118,Libra,Tauro,Sagitario
2728,Géminis,Escorpio,Sagitario
2241,Géminis,Leo,Tauro
3686,Cáncer,Libra,Sagitario
4850,Leo,Sagitario,Virgo
3927,Cáncer,Capricornio,Géminis
1315,Tauro,Cáncer,Virgo
2251,Géminis,Virgo,Tauro
7855,Escorpio,Sagitario,Virgo
5049,Virgo,Aries,Leo
3815,Cáncer,Sagitario,Tauro
5511,Virgo,Tauro,
5516,Virgo,Tauro,Libra
2141,Géminis,Tauro,Leo
9659,Capricornio,Libra,Virgo
5704,Virgo,Escorpio,Aries
6125,Libra,Tauro,Géminis
7005,Escorpio,Aries,Virgo
6963,Libra,Capricornio,Cáncer
1954,Tauro,Capricornio,Virgo
0461,Aries,Leo,Libra
0159,Aries,Tauro,Virgo
7234,Escorpio,Géminis,Cáncer
5255,Virgo,Géminis,
8846,Sagitario,Leo,Libra
1663,Tauro,Libra,Cáncer
1556,Tauro,Virgo,Libra
5476,Virgo,Leo,Escorpio
0025,Aries,Géminis,Virgo
1485,Tauro,Leo,Sagitario
2879,Géminis,Sagitario,Escorpio
2575,Géminis,Virgo,Escorpio
3917,Cáncer,Capricornio,Tauro
9477,Capricornio,Leo,Escorpio
0853,Aries,Sagitario,Virgo
6681,Libra,Sagitario,Tauro
0933,Aries,Capricornio,Cáncer
6554,Libra,Virgo,Leo
8842,Sagitario,Leo,Géminis
4282,Leo,Géminis,Sagitario
3886,Cáncer,Sagitario,Libra
3823,Cáncer,Sagitario,Géminis
8689,Sagitario,Libra,Capricornio
5635,Virgo,Libra,Cáncer
8338,Sagitario,Cáncer,
9002,Capricornio,Aries,Géminis
5373,Virgo,Cáncer,Escorpio
1222,Tauro,Géminis,
9850,Capricornio,Sagitario,Virgo
2218,Géminis,Tauro,Sagitario
3765,Cáncer,Escorpio,Libra
0228,Aries,Géminis,Sagitario
3336,Cáncer,Libra,
3228,Cáncer,Géminis,Sagitario
7366,Escorpio,Cáncer,Libra
2833,Géminis,Sagitario,Cáncer
8153,Sagitario,Tauro,Virgo
4522,Leo,Virgo,Géminis
4961,Leo,Capricornio,Libra
0078,Aries,Escorpio,Sagitario
0239,Aries,Géminis,Cáncer
9977,Capricornio,Escorpio,
0536,Aries,Virgo,Cáncer
4478,Leo,Escorpio,Sagitario
5388,Virgo,Cáncer,Sagitario
8969,Sagitario,Capricornio,Libra
0637,Aries,Libra,Cáncer
2974,Géminis,Capricornio,Escorpio
6404,Libra,Leo,Aries
2109,Géminis,Tauro,Aries
9387,Capricornio,Cáncer,Sagitario
3180,Cáncer,Tauro,Sagitario
4798,Leo,Escorpio,Capricornio
2332,Géminis,Cáncer,
9012,Capricornio,Aries,Tauro
3329,Cáncer,Géminis,Capricornio
2606,Géminis,Libra,Aries
0970,Aries,Capricornio,Escorpio
9010,Capricornio,Aries,Tauro
0639,Aries,Libra,Cáncer
5539,Virgo,Cáncer,Capricornio
5021,Virgo,Aries,Géminis
4240,Leo,Géminis,Aries
5231,Virgo,Géminis,Cáncer
9943,Capricornio,Leo,Cáncer
5250,Virgo,Géminis,Aries
8403,Sagitario,Leo,Aries
5308,Virgo,Cáncer,Aries
5214,Virgo,Géminis,Tauro
